movie_id,title,genres,year,genre_count
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,5
2,Jumanji (1995),Adventure|Children|Fantasy,1995,3
3,Grumpier Old Men (1995),Comedy|Romance,1995,2
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,3
5,Father of the Bride Part II (1995),Comedy,1995,1
6,Heat (1995),Action|Crime|Thriller,1995,3
7,Sabrina (1995),Comedy|Romance,1995,2
8,Tom and Huck (1995),Adventure|Children,1995,2
9,Sudden Death (1995),Action,1995,1
10,GoldenEye (1995),Action|Adventure|Thriller,1995,3
11,The American President (1995),Comedy|Drama|Romance,1995,3
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,2
13,Balto (1995),Adventure|Animation|Children,1995,3
14,Nixon (1995),Drama,1995,1
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,3
16,Casino (1995),Crime|Drama,1995,2
17,Sense and Sensibility (1995),Drama|Romance,1995,2
18,Four Rooms (1995),Comedy,1995,1
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,1
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,5
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,3
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,5
23,Assassins (1995),Action|Crime|Thriller,1995,3
24,Powder (1995),Drama|Sci-Fi,1995,2
25,Leaving Las Vegas (1995),Drama|Romance,1995,2
26,Othello (1995),Drama,1995,1
27,Now and Then (1995),Children|Drama,1995,2
28,Persuasion (1995),Drama|Romance,1995,2
29,"The City of Lost Children (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,5
31,Dangerous Minds (1995),Drama,1995,1
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,3
34,Babe (1995),Children|Drama,1995,2
36,Dead Man Walking (1995),Crime|Drama,1995,2
39,Clueless (1995),Comedy|Romance,1995,2
41,Richard III (1995),Drama|War,1995,2
42,Dead Presidents (1995),Action|Crime|Drama,1995,3
43,Restoration (1995),Drama,1995,1
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,3
45,To Die For (1995),Comedy|Drama|Thriller,1995,3
46,How to Make an American Quilt (1995),Drama|Romance,1995,2
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,2
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,5
50,The Usual Suspects (1995),Crime|Mystery|Thriller,1995,3
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,3
57,Home for the Holidays (1995),Drama,1995,1
58,"The Postman (Postino, Il) (1994)",Comedy|Drama|Romance,1994,3
60,The Indian in the Cupboard (1995),Adventure|Children|Fantasy,1995,3
61,Eye for an Eye (1996),Drama|Thriller,1996,2
62,Mr. Holland's Opus (1995),Drama,1995,1
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996,2
64,Two if by Sea (1996),Comedy|Romance,1996,2
65,Bio-Dome (1996),Comedy,1996,1
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996,3
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,2
69,Friday (1995),Comedy,1995,1
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996,4
71,Fair Game (1995),Action,1995,1
72,Kicking and Screaming (1995),Comedy|Drama,1995,2
73,"Misérables, Les (1995)",Drama|War,1995,2
74,Bed of Roses (1996),Drama|Romance,1996,2
75,Big Bully (1996),Comedy|Drama,1996,2
76,Screamers (1995),Action|Sci-Fi|Thriller,1995,3
79,The Juror (1996),Drama|Thriller,1996,2
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995,3
82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995,2
85,Angels and Insects (1995),Drama|Romance,1995,2
86,White Squall (1996),Action|Adventure|Drama,1996,3
87,Dunston Checks In (1996),Children|Comedy,1996,2
88,Black Sheep (1996),Comedy,1996,1
89,Nick of Time (1995),Action|Thriller,1995,2
92,Mary Reilly (1996),Drama|Horror|Thriller,1996,3
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995,3
94,Beautiful Girls (1996),Comedy|Drama|Romance,1996,3
95,Broken Arrow (1996),Action|Adventure|Thriller,1996,3
97,"Hate (Haine, La) (1995)",Crime|Drama,1995,2
100,City Hall (1996),Drama|Thriller,1996,2
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996,4
102,Mr. Wrong (1996),Comedy,1996,1
104,Happy Gilmore (1996),Comedy,1996,1
105,The Bridges of Madison County (1995),Drama|Romance,1995,2
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996,4
110,Braveheart (1995),Action|Drama|War,1995,3
111,Taxi Driver (1976),Crime|Drama|Thriller,1976,3
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995,4
116,Anne Frank Remembered (1995),Documentary,1995,1
122,Boomerang (1992),Comedy|Romance,1992,2
125,Flirting With Disaster (1996),Comedy,1996,1
126,The NeverEnding Story III (1994),Adventure|Children|Fantasy,1994,3
132,Jade (1995),Thriller,1995,1
135,Down Periscope (1996),Comedy,1996,1
140,Up Close and Personal (1996),Drama|Romance,1996,2
141,The Birdcage (1996),Comedy,1996,1
144,The Brothers McMullen (1995),Comedy,1995,1
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995,5
147,The Basketball Diaries (1995),Drama,1995,1
150,Apollo 13 (1995),Adventure|Drama,1995,2
151,Rob Roy (1995),Action|Drama|Romance|War,1995,4
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,4
154,Beauty of the Day (Belle de jour) (1967),Drama,1967,1
155,Beyond Rangoon (1995),Adventure|Drama|War,1995,3
157,Canadian Bacon (1995),Comedy|War,1995,2
158,Casper (1995),Adventure|Children,1995,2
159,Clockers (1995),Crime|Drama|Mystery,1995,3
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,4
161,Crimson Tide (1995),Drama|Thriller|War,1995,3
162,Crumb (1994),Documentary,1994,1
163,Desperado (1995),Action|Romance|Western,1995,3
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995,4
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995,3
168,First Knight (1995),Action|Drama|Romance,1995,3
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,1995,3
170,Hackers (1995),Action|Adventure|Crime|Thriller,1995,4
